eGRID2019 Plant file sequence number,Data Year,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Utility name,Utility ID,Plant county name,Plant latitude,Plant longitude,Number of units,Plant primary coal/oil/gas/ other fossil fuel category
SEQPLT19,YEAR,PSTATABB,PNAME,ORISPL,UTLSRVNM,UTLSRVID,CNTYNAME,LAT,LON,NUMUNT,PLFUELCT
10128,2019,SC,Wateree Hydro,3270,"Duke Energy Carolinas, LLC",5416,Kershaw,34.3355,-80.7021,5,HYDRO
10129,2019,SC,Wayfair Solar,62345,Wayfair Solar,61865,Horry,34.215417,-79.103353,1,SOLAR
10130,2019,SC,Weaver Solar,62347,Weaver Solar,61866,Lee,34.069422,-80.078469,1,SOLAR
10131,2019,SC,Webb Forging,7814,Central Electric Power,59159,Union,34.5567,-81.4919,2,OIL
10132,2019,SC,Wellford Renewable Energy Plant,57885,Lockhart Power Co,11118,Spartanburg,35.001194,-82.130278,1,BIOMASS
10133,2019,SC,"WestRock CP, LLC Florence Mill",50806,WestRock-Florence,18162,Florence,34.1497,-79.5606,5,COAL
10134,2019,SC,White Horse Solar A,63760,"Renewable Properties, LLC",63449,Greenville,34.786327,-82.398437,1,SOLAR
10135,2019,SC,Whitetail Solar,59569,Whitetail Solar LLC,59316,Dillon,34.398056,-79.383611,1,SOLAR
10136,2019,SC,Whitt Solar,61952,"Whitt Solar, LLC",61559,Anderson,34.721613,-82.524315,1,SOLAR
10137,2019,SC,Williams,3298,"South Carolina Genertg Co, Inc",17554,Berkeley,33.0158,-79.9297,3,COAL
10138,2019,SC,Willis Solar,61953,"Willis Solar, LLC",61560,Florence,33.984625,-79.564983,1,SOLAR
10139,2019,SC,Winyah,6249,South Carolina Public Service Authority,17543,Georgetown,33.33184,-79.357236,4,COAL
10140,2019,SC,Woodfields Solar,63552,"Woodfields Solar, LLC",63276,Greenwood,34.188925,-82.134332,1,SOLAR
